# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 59K of event 'cycles:P'
# Event count (approx.): 53272529727
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ....................  ...........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    40.44%  GWA              libm.so.6             [.] __ieee754_pow_fma
     9.71%  GWA              GWA                   [.] amplitude::getRhoN(std::complex<double>, int, int)
     7.83%  GWA              GWA                   [.] std::_Function_handler<double (double), amplitude::getIntegral(double, int)::{lambda(double)#1}>::_M_invoke(std::_Any_data const&, double&&)
     6.22%  GWA              libm.so.6             [.] pow@@GLIBC_2.29
     5.10%  GWA              libMathCore.so        [.] ROOT::Math::GaussIntegrator::DoIntegral(double, double, ROOT::Math::IBaseFunctionOneDim const*)
     4.22%  GWA              libm.so.6             [.] exp2@@GLIBC_2.29
     3.77%  GWA              GWA                   [.] channel::getMomentum(std::complex<double>)
     3.75%  GWA              libm.so.6             [.] __csqrt
     2.77%  GWA              GWA                   [.] std::complex<double> std::pow<double>(std::complex<double> const&, double const&) [clone .isra.0]
     2.75%  GWA              libMathCore.so        [.] ROOT::Math::IntegrandTransform::DoEval(double, double, int) const
     1.88%  GWA              GWA                   [.] ROOT::Math::WrappedFunction<ROOT::Math::Functor1D&>::DoEval(double) const
     0.68%  GWA              libc.so.6             [.] malloc
     0.63%  GWA              libm.so.6             [.] __pow_finite@GLIBC_2.15@plt
     0.62%  GWA              GWA                   [.] pow@plt
     0.62%  GWA              GWA                   [.] exp2@plt
     0.59%  GWA              libc.so.6             [.] _int_free
     0.41%  GWA              libc.so.6             [.] cfree@GLIBC_2.2.5
     0.34%  GWA              libc.so.6             [.] _int_malloc
     0.32%  GWA              GWA                   [.] csqrt@plt
     0.31%  GWA              libMathCore.so        [.] ROOT::Math::IntegrandTransform::DoEval(double, double, int) const@plt
     0.22%  GWA              libc.so.6             [.] __memmove_avx_unaligned_erms
     0.15%  GWA              [kernel.kallsyms]     [k] __irqentry_text_end
