# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 2M of event 'cycles:P'
# Event count (approx.): 2425279124613
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ....................  ........................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
    42.45%  GWA              libm.so.6             [.] __ieee754_pow_fma
    10.22%  GWA              GWA                   [.] amplitude::getRhoN(std::complex<double>, int, int)
     8.19%  GWA              GWA                   [.] std::_Function_handler<double (double), amplitude::getIntegral(double, int)::{lambda(double)#1}>::_M_invoke(std::_Any_data const&, double&&)
     6.35%  GWA              libm.so.6             [.] pow@@GLIBC_2.29
     5.25%  GWA              libMathCore.so        [.] ROOT::Math::GaussIntegrator::DoIntegral(double, double, ROOT::Math::IBaseFunctionOneDim const*)
     4.40%  GWA              libm.so.6             [.] exp2@@GLIBC_2.29
     4.00%  GWA              libm.so.6             [.] __csqrt
     3.82%  GWA              GWA                   [.] channel::getMomentum(std::complex<double>)
     2.87%  GWA              libMathCore.so        [.] ROOT::Math::IntegrandTransform::DoEval(double, double, int) const
     2.86%  GWA              GWA                   [.] std::complex<double> std::pow<double>(std::complex<double> const&, double const&) [clone .isra.0]
     1.85%  GWA              GWA                   [.] ROOT::Math::WrappedFunction<ROOT::Math::Functor1D&>::DoEval(double) const
     0.69%  GWA              libc.so.6             [.] malloc
     0.65%  GWA              GWA                   [.] exp2@plt
     0.64%  GWA              libm.so.6             [.] __pow_finite@GLIBC_2.15@plt
     0.62%  GWA              GWA                   [.] pow@plt
     0.58%  GWA              libc.so.6             [.] _int_free
     0.42%  GWA              libc.so.6             [.] cfree@GLIBC_2.2.5
     0.32%  GWA              libMathCore.so        [.] ROOT::Math::IntegrandTransform::DoEval(double, double, int) const@plt
     0.31%  GWA              GWA                   [.] csqrt@plt
     0.27%  GWA              libc.so.6             [.] _int_malloc
     0.20%  GWA              libc.so.6             [.] __memmove_avx_unaligned_erms
     0.15%  GWA              GWA                   [.] std::vector<double, std::allocator<double> >::vector(std::vector<double, std::allocator<double> > const&)
     0.12%  GWA              GWA                   [.] amplitude::getValue(std::complex<double>)
     0.10%  GWA              libstdc++.so.6.0.33   [.] operator new(unsigned long)
     0.10%  GWA              GWA                   [.] amplitude::getNumerator(std::complex<double>, int)
     0.10%  GWA              GWA                   [.] amplitude::getKMatrix(std::complex<double>)
     0.10%  GWA              GWA                   [.] Eigen::internal::partial_lu_impl<std::complex<double>, 0, int, -1>::unblocked_lu(Eigen::Ref<Eigen::Matrix<std::complex<double>, -1, -1, 0, -1, -1>, 0, Eigen::OuterStride<-1> >&, int*, int&)
